Sample ID,Cooked,Caramel,Whey,Diacetyl,Milkfat,Fruity,Sulfur,Brothy,Nutty,Catty,Cowy barny,Sour,Bitter,Salty,Sweet,Umami
T_0.2a,3.6,0.5,2.3,1.2,3.5,0.5,0.5,0.7,0.5,0.5,0.5,2.7,0.7,3.6,2.4,2.7
T_0.2b,3.7,0.5,1.9,0.5,3.6,0.5,0.5,0.7,0.5,0.5,0.5,2.4,0.5,3.5,2.4,2.5
T_0.2b,3.7,0.5,2.8,0.9,3.6,0.5,0.5,0.5,0.5,0.5,0.5,2.9,0.5,3.3,2.3,2.9
T_0.2d,3.8,0.5,2.4,1,3.5,0.5,0.5,0.5,0.5,0.5,0.5,2.6,0.5,3.2,2.5,3
L_3.3,3.5,1.7,0.5,0.5,3.5,0.8,3,3.7,2,0.5,0.8,2.8,1.2,4,2.6,4
L_2.9,3.4,1,0.5,0.5,3.5,0.6,2.4,3.4,1.1,0.5,0.5,2.9,1.4,4.3,2.7,3.8
L_6.0,3,2.5,0.5,0.5,3.5,1.8,2.9,3.7,2.2,1.3,0.5,3,1.4,4.4,2.8,4.1
M_7.3,3.2,1.7,0.5,0.5,3.5,1.5,3,3.8,2.7,1.7,0.5,3.1,2.1,4.5,2.9,4.5
M_6.2,3.4,1.2,0.5,0.5,3.5,1.5,3.2,3.9,2.2,1,0.5,2.8,2.1,4.7,3,4.5
M_5.6,3.3,2.9,0.5,0.5,3.5,1.2,3,3.7,2.9,1.1,0.6,3,2.4,4.5,2.7,4.2
E_7.2,3.4,2.4,0.5,0.5,3.5,1.1,3.2,4,2.6,0.8,0.5,2.9,2.9,4.3,2.9,4.4
E_8.7a,3.4,3.2,0.5,0.5,3.5,1.3,3.2,3.8,2.3,1.2,0.6,3.4,2.9,4.9,2.9,4
E_5.7,3.3,2.1,0.5,0.5,3.5,0.9,2.7,3.5,2.3,1.1,1.2,3,3,4.3,2.9,4.1
E_8.7b,3.2,3.2,0.5,0.5,3.5,1,3.2,4,2.4,1.3,0.6,3.2,3.4,4.8,2.7,4.1
